Name,ESI
2M0355,0.022623793318959917
2MASS J0001+1535,0.01791601594388731
2MASS J0030-1450,0.047035909677081905
2MASS J0031+5749,0.02810267277172709
2MASS J0153-6744,0.029483239548797197
2MASS J0326-2102,0.03423558748227848
2MASS J0342-6817,0.029780777214581135
2MASS J0348-6022,0.02444004912200166
2MASS J0407+1546,0.008639539035468928
2MASS J0447-1216,0.013533786427068942
2MASS J0459-2853,0.05217592925180235
2MASS J0506+5236,0.03103480101377333
2MASS J0642+4101,0.04880963766400353
2MASS J0718-6415,0.08407205730317918
2MASS J0809+4434,0.04381877227354405
2MASS J0951-8023,0.0357554461790411
2MASS J1219+3128,0.015350531227257333
2MASS J1551+0941,0.02460309606504712
2MASS J1647+5632,0.035928606821925245
2MASS J1741-4642,0.024747303482138078
2MASS J2002-0521,0.04212901962332674
2MASS J2117-2940,0.046037198210423104
2MASS J2154-1055,0.019749305606009536
2MASS J2206+3301,0.05739460196993659
2MASS J2206-4217,0.018750539638647496
2MASS J2322-6151,0.027479299337258248
2MASS J2343-3646,0.017264705817065906
51 Eri b,0.08767350660552302
AU Mic b,0.14405447876514382
AU Mic c,0.3242152529172462
BD+20 594 b,0.4513817739835648
CoRoT-15 b,0.011172369026380061
CoRoT-22 b,0.0963157922902618
CoRoT-24 b,0.0800736630987657
CoRoT-24 c,0.11336780441919488
CoRoT-27 b,0.033008962600371734
CoRoT-32 b,0.07921700121252792
CoRoT-35 b,0.011227263224922457
CoRoT-36 b,0.014775812328390515
EPIC 205084841 b,0.01616954356804525
EPIC 211945201 b,0.08897813810282346
EPIC 212737443 b,0.3379693027232763
EPIC 212737443 c,0.5001700782497902
EPIC 219388192 b,0.01857154884124945
EPIC 246193072 b,0.08160994065793038
G 9-40 b,0.48746201978292203
GJ 1132 b,0.5134719574842757
GJ 1252 b,0.29707719347126926
GJ 143 c,0.21643450389221242
GJ 3090 b,0.2595048876976237
GJ 3473 b,0.38811433289645125
GJ 357 b,0.5195675743116466
GJ 367  b,0.15643667849144327
GJ 3929 b,0.5275999947169261
GJ 486 b,0.38145855240492527
GJ 570 D,0.02505238208602191
GJ 9827 b,0.22701452884718884
GJ 9827 c,0.4031418576343928
GJ 9827 d,0.3367252933533328
GPX-1 b,0.018635514037757813
HAT-P-1 b,0.018431866345841097
HAT-P-11 b,0.14859893651275402
HAT-P-18 b,0.037172529844846515
HAT-P-42 b,0.02303827725610156
HAT-P-43 b,0.020670920265296797
HAT-P-49 b,0.014656450465981305
HAT-P-50 b,0.018742853105413022
HAT-P-51 b,0.017212717529930345
HAT-P-52 b,0.03983986946247425
HAT-P-53 b,0.01962770155356989
HAT-P-55 b,0.023976171230033344
HAT-P-56 b,0.017241674380328302
HAT-P-57 b,0.014440935063602113
HAT-P-58 b,0.012310699054245311
HAT-P-59 b,0.03881782109659703
HAT-P-60 b,0.008901206612082985
HAT-P-61 b,0.04127896245055157
HAT-P-62 b,0.027079040454065166
HAT-P-63 b,0.02908622899448163
HAT-P-64 b,0.008230962362756658
HAT-P-65 b,0.005744075850217397
HAT-P-67 b,0.0039330903090153135
HAT-P-68 b,0.041215876279794235
HAT-P-69 b,0.015165797338036706
HAT-P-7 b,0.014436035794072754
HAT-P-70 b,0.011339323809328122
HATS-10 b,0.03092232914911344
HATS-11 b,0.012233177287534496
HATS-12 b,0.05333084366778948
HATS-13 b,0.023623000522564667
HATS-17 b,0.10746532357063886
HATS-18 b,0.017711670273012486
HATS-19 b,0.008725598282161778
HATS-20 b,0.04572911502990251
HATS-21 b,0.021571603592521266
HATS-22 b,0.08970796315283099
HATS-23 b,0.011052067865541066
HATS-24 b,0.015692211690526484
HATS-3 b,0.017401265991220174
HATS-31 b,0.010197940216703373
HATS-32 b,0.023297390139134254
HATS-33 b,0.026587137703690634
HATS-34 b,0.018046428549973164
HATS-35 b,0.01270073809529217
HATS-36 b,0.047466926375799266
HATS-37A b,0.05160851036992547
HATS-38 b,0.03664249796305005
HATS-39 b,0.010923995935394358
HATS-4 b,0.04204293367885238
HATS-40 b,0.01172749543504073
HATS-41 b,0.03382556047540654
HATS-42 b,0.018178586534378784
HATS-47 b,0.03562580471768067
HATS-48A b,0.05051442160289982
HATS-49 b,0.07264977412895819
HATS-5 b,0.03611634616072841
HATS-50 b,0.021556220872152875
HATS-51 b,0.015699005147874583
HATS-52 b,0.02007098692132926
HATS-53 b,0.018987686045957852
HATS-54 b,0.03209736482921089
HATS-55 b,0.024619656545069552
HATS-56 b,0.007785903099130811
HATS-57 b,0.041982287729713935
HATS-58A b,0.024986725250596056
HATS-59 b,0.03538805267833255
HATS-60 b,0.022188450989814087
HATS-61 b,0.046339050373196744
HATS-62 b,0.01954847578928676
HATS-63 b,0.026055425668140734
HATS-64 b,0.010297985814522355
HATS-65 b,0.013446144525351266
HATS-66 b,0.022757071481971793
HATS-67 b,0.009473396979967887
HATS-68 b,0.02160847576026453
