# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.327599286904e-10       6.324265954714e-15       4.190061267543e-13       0.000000000000e+00       7.828179291966e-09       4.377288417774e-10      -2.201209006011e-12 
    3       1.252965083133e-10       1.059494142439e-14       5.266534485412e-13       0.000000000000e+00       4.839922815541e-09       3.118377977987e-10      -1.928316299564e-12 
    4       1.179213690691e-10       1.220979492875e-14       5.433911989813e-13       0.000000000000e+00       3.367011140966e-09       2.371368115852e-10      -1.528326192701e-12 
    5       1.121134602702e-10       1.111963332120e-14       5.072930038962e-13       0.000000000000e+00       2.512122477524e-09       1.880167642960e-10      -1.123513387605e-12 
    6       1.078711349397e-10       8.431270965184e-15       4.447816694480e-13       0.000000000000e+00       1.962006114454e-09       1.534912794106e-10      -7.565499439673e-13 
    7       1.049517316120e-10       5.487183651271e-15       3.737571595044e-13       0.000000000000e+00       1.583080264645e-09       1.280349835311e-10      -4.490646672344e-13 
    8       1.030037644732e-10       3.200218686581e-15       3.051215380281e-13       0.000000000000e+00       1.308570038582e-09       1.085648150123e-10      -2.102668285979e-13 
    9       1.018613248276e-10       1.861289820701e-15       2.452580783539e-13       0.000000000000e+00       1.102180216073e-09       9.329004081948e-11      -4.093602827681e-14 
   10       1.013444538599e-10       1.292315813307e-15       1.975185727383e-13       0.000000000000e+00       9.423847625562e-10       8.109418220980e-11       6.449163852352e-14 
   11       1.012799012514e-10       1.133477249012e-15       1.632136560314e-13       0.000000000000e+00       7.938841245959e-10       7.139700955586e-11       1.153663541963e-13 
   12       1.016187329378e-10       1.081483912193e-15       1.419295131769e-13       0.000000000000e+00       6.936607370452e-10       6.318723740808e-11       1.257341409635e-13 
   13       1.022223397898e-10       9.927782743930e-16       1.318822397346e-13       0.000000000000e+00       6.113854167270e-10       5.633047238747e-11       1.078501661071e-13 
   14       1.030299280328e-10       8.633232921515e-16       1.305626094759e-13       0.000000000000e+00       5.429230387628e-10       5.051831475696e-11       7.397187014451e-14 
   15       1.040411894701e-10       7.497243029089e-16       1.352613457762e-13       0.000000000000e+00       4.852971091323e-10       4.564544302984e-11       3.469813544793e-14 
   16       1.051996283455e-10       6.975678112137e-16       1.433903627668e-13       0.000000000000e+00       4.363023385725e-10       4.150469725951e-11      -2.096761822189e-15 
   17       1.064768040909e-10       7.112566164086e-16       1.528010239058e-13       0.000000000000e+00       3.942726582958e-10       3.788531451501e-11      -3.130433259486e-14 
   18       1.078573854902e-10       7.611380481780e-16       1.618970420377e-13       0.000000000000e+00       3.577916960422e-10       3.469388527931e-11      -5.020501590552e-14 
   19       1.093414897824e-10       8.215643394399e-16       1.700091433183e-13       0.000000000000e+00       3.262822297236e-10       3.188979257643e-11      -5.849035291733e-14 
   20       1.108839592106e-10       8.698514661347e-16       1.767346638595e-13       0.000000000000e+00       2.985308120289e-10       2.937314179192e-11      -5.748836709679e-14 
   21       1.124947315914e-10       9.137660608076e-16       1.821528687475e-13       0.000000000000e+00       2.741017797734e-10       2.713899045264e-11      -4.947183800247e-14 
   22       1.141716348599e-10       9.732901900667e-16       1.866064896299e-13       0.000000000000e+00       2.524106292276e-10       2.517321585953e-11      -3.767859920646e-14 
