# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.269765001408e-10       4.510534675962e-15       1.776230036275e-13       1.218722504526e-19       6.073528727390e-09       5.057870850926e-10      -1.464166279702e-12 
    3       1.263116526093e-10       8.544719511926e-15       3.075596454721e-13       2.438257874559e-19       3.741383940644e-09       3.540834140981e-10      -1.369199671372e-12 
    4       1.219699302050e-10       1.056749696937e-14       3.682920925715e-13       4.065551661899e-19       2.593379108369e-09       2.695172285337e-10      -1.112974676916e-12 
    5       1.172582708560e-10       1.031353428733e-14       3.812181114407e-13       6.101638477421e-19       1.927234283500e-09       2.148869347900e-10      -8.331989177107e-13 
    6       1.131372861602e-10       8.548218906504e-15       3.727566719581e-13       8.547770176794e-19       1.500342129977e-09       1.763929720369e-10      -5.730255333452e-13 
    7       1.099064102830e-10       6.205574949792e-15       3.504159296653e-13       1.140538978481e-18       1.207258721817e-09       1.479979600837e-10      -3.470904305743e-13 
    8       1.075170936145e-10       4.097369573912e-15       3.194852932855e-13       1.467610168647e-18       9.954848821975e-10       1.263036839654e-10      -1.643378783828e-13 
    9       1.058396494808e-10       2.640504231303e-15       2.848727973055e-13       1.836163883338e-18       8.366084394896e-10       1.092704484337e-10      -2.786414408481e-14 
   10       1.047564541381e-10       1.853903761937e-15       2.505075148577e-13       2.246382779086e-18       7.138528753453e-10       9.561017900991e-11       6.399581113638e-14 
   11       1.041537401945e-10       1.525114369858e-15       2.192299348778e-13       2.698455250753e-18       6.008805701734e-10       8.540932695797e-11       1.182924241324e-13 
   12       1.039485304688e-10       1.397386906861e-15       1.928470817011e-13       3.192571772328e-18       5.240663427511e-10       7.594761200038e-11       1.376035047279e-13 
   13       1.040559403869e-10       1.291270700885e-15       1.722879096034e-13       3.728921294291e-18       4.611159817700e-10       6.806801569910e-11       1.329697220931e-13 
   14       1.044253917635e-10       1.139585450499e-15       1.577052567141e-13       4.307687788977e-18       4.088291136383e-10       6.140925805480e-11       1.124016794783e-13 
   15       1.049946805613e-10       9.584889423805e-16       1.486001994929e-13       4.929047031734e-18       3.648903257800e-10       5.572107689176e-11       8.337143582807e-14 
   16       1.057204403301e-10       7.975504880783e-16       1.440384459281e-13       5.593163627838e-18       3.273406321041e-10       5.080917724429e-11       5.235844641681e-14 
   17       1.066120259170e-10       6.845280350289e-16       1.432628262174e-13       6.300188861251e-18       2.956377380600e-10       4.658199476049e-11       2.353209389046e-14 
   18       1.076006756948e-10       6.327891941681e-16       1.449890433155e-13       7.050257810146e-18       2.680508813535e-10       4.284548631291e-11       5.107205321775e-16 
