# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.499924463249e-10       6.891768260112e-15       2.132747784629e-13       0.000000000000e+00       8.071923384926e-11       8.849359821411e-12      -6.043361108165e-15 
   41       1.522256196148e-10       7.484529246067e-15       2.047417490948e-13       0.000000000000e+00       7.672138164257e-11       8.454254520104e-12      -4.955604485344e-15 
   42       1.544877814724e-10       8.110889353545e-15       1.952710083558e-13       0.000000000000e+00       7.298256694096e-11       8.089582641608e-12      -4.943503778349e-15 
   43       1.567745929650e-10       8.770867392369e-15       1.847153096498e-13       0.000000000000e+00       6.949285630795e-11       7.751421300833e-12      -5.720552082152e-15 
   44       1.590771483643e-10       9.464305208991e-15       1.728989996837e-13       0.000000000000e+00       6.622685113823e-11       7.433640341730e-12      -6.923842119327e-15 
   45       1.613859257407e-10       1.019102034908e-14       1.596423075989e-13       0.000000000000e+00       6.315275840743e-11       7.129718227853e-12      -8.177220711218e-15 
   46       1.637049746477e-10       1.095134288361e-14       1.448472507270e-13       0.000000000000e+00       6.026573774490e-11       6.839220916629e-12      -9.314503024679e-15 
   47       1.660413004898e-10       1.174572144993e-14       1.284342501899e-13       0.000000000000e+00       5.756242970428e-11       6.562982848163e-12      -1.021487997126e-14 
   48       1.684007488964e-10       1.257457321629e-14       1.103178697714e-13       0.000000000000e+00       5.503089820474e-11       6.301248680059e-12      -1.073995502914e-14 
   49       1.707878623212e-10       1.343828291050e-14       9.040646345378e-14       0.000000000000e+00       5.264999274308e-11       6.053624367023e-12      -1.073288793442e-14 
   50       1.732055073955e-10       1.433716194164e-14       6.863070855361e-14       0.000000000000e+00       5.039571779045e-11       5.819343265645e-12      -1.007887642632e-14 
   51       1.756539704319e-10       1.527131493764e-14       4.503915344804e-14       0.000000000000e+00       4.826385885740e-11       5.598263097600e-12      -8.907942277021e-15 
   52       1.781313685284e-10       1.624073530188e-14       1.972799594419e-14       0.000000000000e+00       4.625239556293e-11       5.390055038935e-12      -7.445709055310e-15 
   53       1.806337068253e-10       1.724533917228e-14      -7.184552579327e-15       0.000000000000e+00       4.435473049921e-11       5.193879059989e-12      -5.958856980265e-15 
   54       1.831547243165e-10       1.828496257200e-14      -3.555726031343e-14       0.000000000000e+00       4.255938119357e-11       5.008349829712e-12      -4.757153109258e-15 
   55       1.856882529981e-10       1.935941169596e-14      -6.526120540894e-14       0.000000000000e+00       4.085348211771e-11       4.831935716660e-12      -4.116397239365e-15 
   56       1.882363348440e-10       2.046863492649e-14      -9.629835170148e-14       0.000000000000e+00       3.923501516911e-11       4.664349975098e-12      -4.020192897680e-15 
   57       1.908028511877e-10       2.161258855930e-14      -1.287106661497e-13       0.000000000000e+00       3.770307795099e-11       4.505445438130e-12      -4.357582755043e-15 
   58       1.933911310107e-10       2.279118664962e-14      -1.625467623863e-13       0.000000000000e+00       3.625418380260e-11       4.354794853480e-12      -4.995484370470e-15 
   59       1.960038946756e-10       2.400430023318e-14      -1.978623095959e-13       0.000000000000e+00       3.488210220462e-11       4.211673661709e-12      -5.777639173185e-15 
   60       1.986431976598e-10       2.525175654712e-14      -2.347204413934e-13       0.000000000000e+00       3.357769918454e-11       4.075042774432e-12      -6.523561444649e-15 
   61       2.013105465701e-10       2.653331380682e-14      -2.731797725400e-13       0.000000000000e+00       3.233147317204e-11       3.943840895426e-12      -7.069529907661e-15 
   62       2.040074049071e-10       2.784858068283e-14      -3.132543809345e-13       0.000000000000e+00       3.114218875770e-11       3.817977119124e-12      -7.404692098698e-15 
   63       2.067347014958e-10       2.919707728496e-14      -3.549455278326e-13       0.000000000000e+00       3.000990649017e-11       3.697531585103e-12      -7.563784065635e-15 
   64       2.094926184282e-10       3.057825648773e-14      -3.982532727520e-13       0.000000000000e+00       2.893338583074e-11       3.582458341776e-12      -7.588060916083e-15 
