# Matter power spectrum P(k) at redshift z=0.7
# for k=0.000210963 to 1.05003 h/Mpc,
# number of wavenumbers equal to 606
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.109631387639e-04       1.739043098311e+02 
       2.280268860546e-04       2.213174358025e+02 
       2.457733548273e-04       2.703081233056e+02 
       2.642762488144e-04       3.206552550724e+02 
       2.836159136860e-04       3.723003978080e+02 
       3.038800123045e-04       4.252903772119e+02 
       3.251642129198e-04       4.797431775753e+02 
       3.475728701248e-04       5.358258363348e+02 
       3.712196694595e-04       5.937420505656e+02 
       3.962281953848e-04       6.537243131932e+02 
       4.227323688690e-04       7.160288581070e+02 
       4.508766853143e-04       7.809315842627e+02 
       4.808161667854e-04       8.487252808433e+02 
       5.127159261193e-04       9.197162552683e+02 
       5.467502271827e-04       9.942212069233e+02 
       5.831009193365e-04       1.072560495688e+03 
       6.219551303876e-04       1.155055330545e+03 
       6.635021271503e-04       1.242019616032e+03 
       7.079293021604e-04       1.333750654401e+03 
       7.554173228034e-04       1.430518715192e+03 
       8.061345839866e-04       1.532557328803e+03 
       8.602312286906e-04       1.640051144482e+03 
       9.178331241969e-04       1.753125263901e+03 
       9.790362792804e-04       1.871835701146e+03 
       1.043902229879e-03       1.996162303030e+03 
       1.112454884096e-03       2.126005071629e+03 
       1.184679193809e-03       2.261184260282e+03 
       1.260521823759e-03       2.401444479485e+03 
       1.339893755439e-03       2.546462725056e+03 
       1.422674539951e-03       2.695843475163e+03 
       1.508717746352e-03       2.849176183023e+03 
       1.597857068384e-03       3.006009766513e+03 
       1.689912557943e-03       3.165875931742e+03 
       1.784696531940e-03       3.328303442104e+03 
       1.882018821348e-03       3.492828956425e+03 
       1.981691166099e-03       3.659005527083e+03 
       2.083530682494e-03       3.826409104764e+03 
       2.187362425975e-03       3.994642941987e+03 
       2.293021136716e-03       4.163340149088e+03 
       2.400352290575e-03       4.332165117439e+03 
       2.509212589732e-03       4.500813593762e+03 
       2.619470022932e-03       4.669011877632e+03 
       2.731003611303e-03       4.836516400177e+03 
       2.843702937369e-03       5.003109753291e+03 
       2.957467535665e-03       5.168601177439e+03 
       3.072206205436e-03       5.332822400269e+03 
       3.187836290313e-03       5.495627016023e+03 
       3.304282957047e-03       5.656886988176e+03 
       3.421478495198e-03       5.816492149560e+03 
       3.539361651865e-03       5.974346649992e+03 
       3.657877009786e-03       6.130369210034e+03 
       3.776974412913e-03       6.284489380766e+03 
       3.896608440643e-03       6.436649071765e+03 
       4.016737929934e-03       6.586797383730e+03 
       4.137325543216e-03       6.734893625915e+03 
       4.258337379285e-03       6.880902382569e+03 
       4.379742623958e-03       7.024798947828e+03 
       4.501513237094e-03       7.166560073632e+03 
       4.623623672659e-03       7.306171509073e+03 
       4.746050628574e-03       7.443620957254e+03 
       4.868772823330e-03       7.578901017696e+03 
       4.991770796547e-03       7.712007999921e+03 
       5.115026730913e-03       7.842941162502e+03 
       5.238524293154e-03       7.971699347762e+03 
       5.362248491953e-03       8.098295871734e+03 
       5.486185550925e-03       8.222729079852e+03 
       5.610322794966e-03       8.345010985040e+03 
       5.734648548489e-03       8.465158581764e+03 
       5.859152044213e-03       8.583164463914e+03 
       5.983823341338e-03       8.699057664761e+03 
       6.108653252049e-03       8.812846954110e+03 
       6.233633275448e-03       8.924547585348e+03 
       6.358755538077e-03       9.034173670771e+03 
       6.484012740334e-03       9.141739667607e+03 
       6.609398108122e-03       9.247262752533e+03 
       6.734905349189e-03       9.350761482875e+03 
       6.860528613638e-03       9.452250977131e+03 
       6.986262458188e-03       9.551752887567e+03 
       7.112101813771e-03       9.649282269556e+03 
       7.238041956140e-03       9.744857303233e+03 
       7.364078479159e-03       9.838499068051e+03 
       7.490207270519e-03       9.930225219979e+03 
       7.616424489623e-03       1.002005798832e+04 
       7.742726547431e-03       1.010801148560e+04 
       7.869110088068e-03       1.019411358273e+04 
       7.995571972027e-03       1.027837664307e+04 
       8.122109260808e-03       1.036082342794e+04 
       8.248719202854e-03       1.044147047131e+04 
       8.375399220676e-03       1.052034319954e+04 
       8.502146899032e-03       1.059745572982e+04 
       8.628959974084e-03       1.067283019845e+04 
