# Matter power spectrum P(k) at redshift z=0.7
# for k=1.04199e-05 to 1.08563 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.041986196432e-05       2.206812615078e+01 
       2.325809944849e-05       4.808528690727e+01 
       3.614119893418e-05       7.373782463553e+01 
       4.910359349867e-05       9.926521087597e+01 
       6.218028211193e-05       1.248091078226e+02 
       7.540713965426e-05       1.504789484348e+02 
       8.882123678549e-05       1.763704303012e+02 
       1.024611738942e-04       2.025731766887e+02 
       1.163674333877e-04       2.291747113913e+02 
       1.305827546171e-04       2.562629257772e+02 
       1.451525357384e-04       2.839278295537e+02 
       1.601252667566e-04       3.122629558798e+02 
       1.755529978273e-04       3.413665840750e+02 
       1.914918465403e-04       3.713428838811e+02 
       2.080025472767e-04       4.023030276650e+02 
       2.251510447003e-04       4.343663038021e+02 
       2.430091318454e-04       4.676612458321e+02 
       2.616551308916e-04       5.023267745204e+02 
       2.811746113064e-04       5.385133577202e+02 
       3.016611352736e-04       5.763841520383e+02 
       3.232170138423e-04       6.161161029540e+02 
       3.459540486404e-04       6.579009471052e+02 
       3.699942229221e-04       7.019460419571e+02 
       3.954702919116e-04       7.484749248589e+02 
       4.225262058552e-04       7.977274737157e+02 
       4.513172803840e-04       8.499595065222e+02 
       4.820100089633e-04       9.054416282677e+02 
       5.147813937359e-04       9.644571073891e+02 
       5.498176578295e-04       1.027298553388e+03 
       5.873121997354e-04       1.094263165968e+03 
       6.274626657535e-04       1.165646402744e+03 
       6.704670574521e-04       1.241733962307e+03 
       7.165188640786e-04       1.322792180529e+03 
       7.658013171618e-04       1.409057118933e+03 
       8.184810005834e-04       1.500722890149e+03 
       8.747011976938e-04       1.597929988091e+03 
       9.345754896569e-04       1.700754663862e+03 
       9.981822007434e-04       1.809200390955e+03 
       1.065560283267e-03       1.923192474488e+03 
       1.136707128282e-03       2.042576553022e+03 
       1.211578584520e-03       2.167121320032e+03 
       1.290091202321e-03       2.296525421158e+03 
       1.372126446911e-03       2.430422560635e+03 
       1.457536404660e-03       2.568396304239e+03 
       1.546150379235e-03       2.710017748673e+03 
       1.637781756277e-03       2.854827189961e+03 
       1.732234590840e-03       3.002359502415e+03 
       1.829309508334e-03       3.152155553404e+03 
       1.928808668223e-03       3.303771413185e+03 
       2.030539688055e-03       3.456785262261e+03 
       2.134318543306e-03       3.610802058453e+03 
       2.239971538445e-03       3.765456444883e+03 
       2.347336488603e-03       3.920414221216e+03 
       2.456263266397e-03       4.075372329043e+03 
       2.566613863780e-03       4.230058495856e+03 
