# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.739988160534e-10       1.533334180567e-14       4.728240938564e-14       0.000000000000e+00       1.404290579935e-10      -2.494443533623e-13      -2.338620321597e-14 
   41       1.771023319739e-10       1.658258127673e-14       1.662406680937e-14       0.000000000000e+00       1.335927519238e-10      -2.816661563256e-13      -2.598939486355e-14 
   42       1.802444875278e-10       1.788693892635e-14      -1.708802694560e-14       0.000000000000e+00       1.271912699173e-10      -3.081222432562e-13      -2.777157117495e-14 
   43       1.834276261010e-10       1.924625324086e-14      -5.399101349056e-14       0.000000000000e+00       1.212020925476e-10      -3.299963770618e-13      -2.839443740630e-14 
   44       1.866527085338e-10       2.066049213056e-14      -9.412566394267e-14       0.000000000000e+00       1.155949939775e-10      -3.481023515858e-13      -2.769559134726e-14 
   45       1.899187555213e-10       2.212968708324e-14      -1.374789742850e-13       0.000000000000e+00       1.103260077430e-10      -3.632796692492e-13      -2.561762881879e-14 
   46       1.932272069933e-10       2.365443602209e-14      -1.838432220476e-13       0.000000000000e+00       1.053765781278e-10      -3.756347464179e-13      -2.258160811856e-14 
   47       1.965783370128e-10       2.523554959655e-14      -2.329136605869e-13       0.000000000000e+00       1.007227737965e-10      -3.851006299911e-13      -1.922546254229e-14 
   48       1.999711390435e-10       2.687358137475e-14      -2.843850576750e-13       0.000000000000e+00       9.633244671843e-11      -3.917096377956e-13      -1.619655084412e-14 
   49       2.034077231709e-10       2.856770054626e-14      -3.381532415339e-13       0.000000000000e+00       9.219603184373e-11      -3.957912367848e-13      -1.378391224812e-14 
   50       2.068897617700e-10       3.031651509470e-14      -3.941651088046e-13       0.000000000000e+00       8.830226828679e-11      -3.978351445455e-13      -1.219358231325e-14 
   51       2.104170532260e-10       3.211837542432e-14      -4.523622716099e-13       0.000000000000e+00       8.462859175182e-11      -3.984436051752e-13      -1.165261686505e-14 
   52       2.139885805128e-10       3.397142931519e-14      -5.127083466320e-13       0.000000000000e+00       8.114792770181e-11      -3.981902491965e-13      -1.230148978120e-14 
   53       2.176063819139e-10       3.587382546725e-14      -5.752790560239e-13       0.000000000000e+00       7.785293155741e-11      -3.971393783081e-13      -1.383630975580e-14 
   54       2.212724152642e-10       3.782354683385e-14      -6.401958320468e-13       0.000000000000e+00       7.473675945632e-11      -3.952113048593e-13      -1.577436543855e-14 
   55       2.249873234818e-10       3.981834441628e-14      -7.076018888275e-13       0.000000000000e+00       7.178563496059e-11      -3.923181043428e-13      -1.755052302801e-14 
   56       2.287510208907e-10       4.185592565948e-14      -7.776218201793e-13       0.000000000000e+00       6.898278417894e-11      -3.884148151833e-13      -1.865164198395e-14 
   57       2.325648641828e-10       4.393458862001e-14      -8.502259793077e-13       0.000000000000e+00       6.632236664626e-11      -3.836685761600e-13      -1.906716570540e-14 
   58       2.364298239894e-10       4.605273107214e-14      -9.253351746313e-13       0.000000000000e+00       6.379817842466e-11      -3.783301070865e-13      -1.894173443759e-14 
   59       2.403457589239e-10       4.820866974828e-14      -1.002859120105e-12       0.000000000000e+00       6.139930948958e-11      -3.726872414959e-13      -1.844776859098e-14 
   60       2.443119211872e-10       5.040061719550e-14      -1.082693357928e-12       0.000000000000e+00       5.911327044953e-11      -3.669894516102e-13      -1.776558470682e-14 
   61       2.483287915742e-10       5.262660458226e-14      -1.164709909497e-12       0.000000000000e+00       5.693682669690e-11      -3.611978017446e-13      -1.701551827978e-14 
   62       2.523965214319e-10       5.488454245727e-14      -1.248763933852e-12       0.000000000000e+00       5.486716077180e-11      -3.551804632272e-13      -1.631254016903e-14 
   63       2.565143226338e-10       5.717224296460e-14      -1.334695913636e-12       0.000000000000e+00       5.289853100870e-11      -3.487837397599e-13      -1.578664839091e-14 
   64       2.606804059152e-10       5.948741976390e-14      -1.422331254036e-12       0.000000000000e+00       5.102210940544e-11      -3.418310841125e-13      -1.558346331869e-14 
   65       2.648927621906e-10       6.182736258399e-14      -1.511505466004e-12       0.000000000000e+00       4.922827224109e-11      -3.341657065289e-13      -1.581528233538e-14 
   66       2.691518373404e-10       6.418788095287e-14      -1.602146815700e-12       0.000000000000e+00       4.751439994507e-11      -3.257910968254e-13      -1.640085879659e-14 
   67       2.734583153403e-10       6.656413596443e-14      -1.694210513557e-12       0.000000000000e+00       4.587844416213e-11      -3.167585926235e-13      -1.719265474037e-14 
   68       2.778122878908e-10       6.895093689666e-14      -1.787654983218e-12       0.000000000000e+00       4.431652898889e-11      -3.071266452794e-13      -1.802261152274e-14 
   69       2.822132163321e-10       7.134273203072e-14      -1.882442176119e-12       0.000000000000e+00       4.282285745116e-11      -2.969610559267e-13      -1.870135926779e-14 
   70       2.866603607013e-10       7.373429888196e-14      -1.978528148818e-12       0.000000000000e+00       4.139123031762e-11      -2.863347152741e-13      -1.906504578877e-14 
   71       2.911542498478e-10       7.612299312047e-14      -2.075831940154e-12       0.000000000000e+00       4.002015812003e-11      -2.753262374853e-13      -1.912828890129e-14 
   72       2.956954338555e-10       7.850692851828e-14      -2.174261096896e-12       0.000000000000e+00       3.870859307461e-11      -2.640214810673e-13      -1.896009264387e-14 
   73       3.002840162255e-10       8.088432436569e-14      -2.273720945819e-12       0.000000000000e+00       3.745435233983e-11      -2.525142414179e-13      -1.863925064752e-14 
   74       3.049196270700e-10       8.325351317756e-14      -2.374114673186e-12       0.000000000000e+00       3.625406342348e-11      -2.409064748871e-13      -1.825470535174e-14 
   75       3.096013963069e-10       8.561294839957e-14      -2.475343404221e-12       0.000000000000e+00       3.510310958964e-11      -2.293085228373e-13      -1.790590722061e-14 
   76       3.143282093968e-10       8.796068393643e-14      -2.577299850781e-12       0.000000000000e+00       3.399674198079e-11      -2.178301569446e-13      -1.767703430846e-14 
   77       3.190995876474e-10       9.029268612859e-14      -2.679847741338e-12       0.000000000000e+00       3.293377079413e-11      -2.065513346076e-13      -1.755342944054e-14 
   78       3.239149204818e-10       9.260422652696e-14      -2.782838766924e-12       0.000000000000e+00       3.191345115191e-11      -1.955464929430e-13      -1.749050677609e-14 
   79       3.287731764654e-10       9.489037968919e-14      -2.886118628609e-12       0.000000000000e+00       3.093434592765e-11      -1.848932897067e-13      -1.743836568966e-14 
   80       3.336728822931e-10       9.714602005526e-14      -2.989526985089e-12       0.000000000000e+00       2.999429507766e-11      -1.746726391367e-13      -1.734161397252e-14 
   81       3.386121017778e-10       9.936581882301e-14      -3.092897400279e-12       0.000000000000e+00       2.909038497245e-11      -1.649687477963e-13      -1.713919103402e-14 
   82       3.435888341343e-10       1.015447191641e-13      -3.196065010122e-12       0.000000000000e+00       2.821965113141e-11      -1.558433843196e-13      -1.678089187236e-14 
   83       3.486023326680e-10       1.036794614555e-13      -3.298891134039e-12       0.000000000000e+00       2.738139086672e-11      -1.472535894321e-13      -1.628055127116e-14 
   84       3.536519723769e-10       1.057673122648e-13      -3.401242761928e-12       0.000000000000e+00       2.657518865472e-11      -1.391200074729e-13      -1.567159990094e-14 
   85       3.587368371204e-10       1.078056142313e-13      -3.502985288371e-12       0.000000000000e+00       2.580020012437e-11      -1.313509998711e-13      -1.499128115940e-14 
   86       3.638557060000e-10       1.097917913752e-13      -3.603982596327e-12       0.000000000000e+00       2.505513431977e-11      -1.238422266946e-13      -1.428076883239e-14 
   87       3.690070397405e-10       1.117233544073e-13      -3.704097140826e-12       0.000000000000e+00       2.433823596257e-11      -1.164762281973e-13      -1.358528475491e-14 
   88       3.741889670701e-10       1.135979060382e-13      -3.803190032653e-12       0.000000000000e+00       2.364726771449e-11      -1.091220063673e-13      -1.295421647209e-14 
   89       3.793995215471e-10       1.154129667993e-13      -3.901121499579e-12       0.000000000000e+00       2.298001427464e-11      -1.016647821608e-13      -1.242991265632e-14 
   90       3.846374242973e-10       1.171654096207e-13      -3.997752170530e-12       0.000000000000e+00       2.233592395983e-11      -9.410152894874e-14      -1.201179857698e-14 
   91       3.899013995420e-10       1.188519459263e-13      -4.092942147987e-12       0.000000000000e+00       2.171469315301e-11      -8.645972391388e-14      -1.168682210911e-14 
   92       3.951899253534e-10       1.204692998104e-13      -4.186550736489e-12       0.000000000000e+00       2.111575761091e-11      -7.876853959041e-14      -1.144022363287e-14 
   93       4.005012237879e-10       1.220142106580e-13      -4.278436531974e-12       0.000000000000e+00       2.053828254431e-11      -7.105887748194e-14      -1.125548407291e-14 
   94       4.058332510191e-10       1.234834357655e-13      -4.368457511132e-12       0.000000000000e+00       1.998115269823e-11      -6.336340167972e-14      -1.111427293774e-14 
   95       4.111836874701e-10       1.248737529608e-13      -4.456471120747e-12       0.000000000000e+00       1.944296243212e-11      -5.571657248074e-14      -1.099639635911e-14 
   96       4.165501616430e-10       1.261821460543e-13      -4.542336107787e-12       0.000000000000e+00       1.892232847732e-11      -4.815949731996e-14      -1.088337082507e-14 
   97       4.219309802910e-10       1.274063864220e-13      -4.625918121110e-12       0.000000000000e+00       1.841890182834e-11      -4.075521921641e-14      -1.076985258290e-14 
   98       4.273244869778e-10       1.285445415207e-13      -4.707085096384e-12       0.000000000000e+00       1.793248577692e-11      -3.357573143441e-14      -1.065378711649e-14 
   99       4.327288311125e-10       1.295948045342e-13      -4.785705698539e-12       0.000000000000e+00       1.746272071018e-11      -2.669745348393e-14      -1.053292694934e-14 
  100       4.381419610943e-10       1.305554993502e-13      -4.861649433544e-12       0.000000000000e+00       1.700907834911e-11      -2.020132681754e-14      -1.040482640668e-14 
