# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.331314029681e-10       6.337930678504e-15       4.185686236963e-13       0.000000000000e+00       7.841312389276e-09       4.403953566983e-10      -2.202387513657e-12 
    3       1.255871713649e-10       1.060512504890e-14       5.258315322082e-13       0.000000000000e+00       4.854025786015e-09       3.139063682159e-10      -1.928021253609e-12 
    4       1.181466248427e-10       1.220663533532e-14       5.421902320863e-13       0.000000000000e+00       3.379491127580e-09       2.388412723022e-10      -1.526829795098e-12 
    5       1.122959423323e-10       1.110234694344e-14       5.058880908895e-13       0.000000000000e+00       2.522858544771e-09       1.895021548253e-10      -1.121226946459e-12 
    6       1.080222230843e-10       8.406420270877e-15       4.433454128985e-13       0.000000000000e+00       1.971310115343e-09       1.547954670623e-10      -7.538725179381e-13 
    7       1.050626948908e-10       5.463497956632e-15       3.724413513492e-13       0.000000000000e+00       1.591369710221e-09       1.291487491904e-10      -4.463373526530e-13 
    8       1.030892117910e-10       3.183862392833e-15       3.040584940169e-13       0.000000000000e+00       1.316048449120e-09       1.095272745461e-10      -2.077488701886e-13 
    9       1.019256537997e-10       1.853883240239e-15       2.445148817516e-13       0.000000000000e+00       1.108949881245e-09       9.417416600330e-11      -3.879862825843e-14 
   10       1.014139230979e-10       1.291734771519e-15       1.970432761388e-13       0.000000000000e+00       9.485692091501e-10       8.192364464005e-11       6.615705421356e-14 
   11       1.013400621960e-10       1.136058198342e-15       1.628999504163e-13       0.000000000000e+00       7.991316710629e-10       7.210496454152e-11       1.164970704261e-13 
   12       1.016412674164e-10       1.084121258370e-15       1.417440965430e-13       0.000000000000e+00       6.984897389093e-10       6.382631132967e-11       1.264931379386e-13 
   13       1.022338430936e-10       9.939811835972e-16       1.317985917743e-13       0.000000000000e+00       6.158446221913e-10       5.682965540435e-11       1.080938848071e-13 
   14       1.030596181293e-10       8.630737290307e-16       1.305128367823e-13       0.000000000000e+00       5.470547247533e-10       5.102561822888e-11       7.398071087357e-14 
   15       1.040616395609e-10       7.486570448090e-16       1.351868572214e-13       0.000000000000e+00       4.891386458081e-10       4.615733150970e-11       3.456215886479e-14 
   16       1.051918339553e-10       6.962496966539e-16       1.432855491386e-13       0.000000000000e+00       4.398842563523e-10       4.194733582243e-11      -2.354924652128e-15 
   17       1.064994529525e-10       7.098350094681e-16       1.526400558272e-13       0.000000000000e+00       3.976187157045e-10       3.821442270427e-11      -3.166266931301e-14 
   18       1.078760955350e-10       7.593809748116e-16       1.616661461293e-13       0.000000000000e+00       3.609235678063e-10       3.496352474538e-11      -5.054815893847e-14 
   19       1.093312711711e-10       8.192111216505e-16       1.697095241462e-13       0.000000000000e+00       3.292215580428e-10       3.215536853527e-11      -5.873175128269e-14 
   20       1.108770739358e-10       8.667452038305e-16       1.763777425752e-13       0.000000000000e+00       3.012938216444e-10       2.964604306526e-11      -5.763259134692e-14 
   21       1.124991387180e-10       9.098708059169e-16       1.817473161353e-13       0.000000000000e+00       2.767036307775e-10       2.739971822259e-11      -4.956471237179e-14 
   22       1.141497882551e-10       9.686830950167e-16       1.861547028675e-13       0.000000000000e+00       2.548644195047e-10       2.538257372088e-11      -3.778224455233e-14 
   23       1.158489526096e-10       1.057644892498e-15       1.900995634284e-13       0.000000000000e+00       2.354769937868e-10       2.358525919485e-11      -2.485035935540e-14 
   24       1.176152847801e-10       1.187859750708e-15       1.941673718632e-13       0.000000000000e+00       2.180941879217e-10       2.198017729512e-11      -1.331883805466e-14 
   25       1.194355285516e-10       1.356679324643e-15       1.986777365967e-13       0.000000000000e+00       2.025123668918e-10       2.052950801332e-11      -4.707888923073e-15 
   26       1.212747952971e-10       1.556062474249e-15       2.038270433162e-13       0.000000000000e+00       1.884504823030e-10       1.918366965161e-11      -4.426287992604e-17 
   27       1.231367586643e-10       1.781924398788e-15       2.095805389305e-13       0.000000000000e+00       1.757409892536e-10       1.795071056350e-11       8.400793053210e-16 
   28       1.250279240213e-10       2.031173784999e-15       2.157589218626e-13       0.000000000000e+00       1.641659573945e-10       1.684565936614e-11      -1.309158263310e-15 
   29       1.269557330282e-10       2.303526853339e-15       2.220388942126e-13       0.000000000000e+00       1.536664543019e-10       1.586029543027e-11      -5.613815956787e-15 
