# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.499920297213e-10       6.906133085889e-15       2.131571806468e-13       5.683733440875e-17       8.166792586580e-11       8.838952788781e-12      -6.193215331290e-15 
   41       1.522225130348e-10       7.498151044345e-15       2.047085519119e-13       5.971594009356e-17       7.763195650017e-11       8.434906015805e-12      -5.162524262989e-15 
   42       1.544763081765e-10       8.123659474245e-15       1.953125425726e-13       6.266790363693e-17       7.385703049377e-11       8.063529588890e-12      -5.209941122329e-15 
   43       1.567521349506e-10       8.782713362484e-15       1.848274971810e-13       6.569339301890e-17       7.033315759759e-11       7.720601427968e-12      -6.038577729876e-15 
   44       1.590448251193e-10       9.475198083671e-15       1.730847007374e-13       6.879257449137e-17       6.703474398509e-11       7.399580757102e-12      -7.273233170199e-15 
   45       1.613482930923e-10       1.020097197781e-14       1.599114159696e-13       7.196558591953e-17       6.392974515596e-11       7.093504135395e-12      -8.527186622012e-15 
   46       1.636663398195e-10       1.096036836668e-14       1.452123918249e-13       7.521244796784e-17       6.101331538325e-11       6.801750890761e-12      -9.637873985346e-15 
   47       1.660044777098e-10       1.175382669066e-14       1.289097027853e-13       7.853312588178e-17       5.828210478930e-11       6.525010537826e-12      -1.049337804890e-14 
   48       1.683667292163e-10       1.258175187000e-14       1.109197142843e-13       8.192755180421e-17       5.572411042046e-11       6.263342006992e-12      -1.096615086322e-14 
   49       1.707554648857e-10       1.344451313653e-14       9.115273629790e-14       8.539562297394e-17       5.331803254326e-11       6.016122313660e-12      -1.091226690633e-14 
   50       1.731716335157e-10       1.434239658530e-14       6.954122360390e-14       8.893719691032e-17       5.103969716471e-11       5.782358178687e-12      -1.022863725981e-14 
   51       1.756159020029e-10       1.527545035658e-14       4.613420431081e-14       9.255207960546e-17       4.888487219283e-11       5.561839695683e-12      -9.044693329212e-15 
   52       1.780875449519e-10       1.624359541080e-14       2.102788409619e-14       9.624003101304e-17       4.685153178338e-11       5.354211085265e-12      -7.581442553745e-15 
   53       1.805839395143e-10       1.724666486891e-14      -5.659686933396e-15       1.000007658850e-16       4.493302761155e-11       5.158601675214e-12      -6.099988640391e-15 
   54       1.831004218900e-10       1.828440066621e-14      -3.378761727886e-14       1.038339518283e-16       4.311777769631e-11       4.973591649751e-12      -4.903512306491e-15 
   55       1.856321997395e-10       1.935653600791e-14      -6.322859707492e-14       1.077392461560e-16       4.139280272657e-11       4.797612168617e-12      -4.261703856693e-15 
   56       1.881809745028e-10       2.046307438879e-14      -9.399104691116e-14       1.117164216123e-16       3.975607666438e-11       4.630340587868e-12      -4.157539962274e-15 
   57       1.907497128572e-10       2.160407402690e-14      -1.261255671406e-13       1.157652684770e-16       3.820669924816e-11       4.471591849057e-12      -4.481070223791e-15 
