# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.287145190790e-10       3.744421848190e-15       8.177157873176e-14       0.000000000000e+00       5.393512737341e-09       5.265846050479e-10      -1.182030024823e-12 
    3       1.286676732534e-10       7.622699293167e-15       2.110996702843e-13       0.000000000000e+00       3.325219442810e-09       3.662258423829e-10      -1.156397454806e-12 
    4       1.256795904714e-10       9.826752573613e-15       2.936745547831e-13       0.000000000000e+00       2.302135954983e-09       2.780672150109e-10      -9.565011040821e-13 
    5       1.217156743511e-10       9.861485497272e-15       3.259042835868e-13       0.000000000000e+00       1.707965883754e-09       2.220063870328e-10      -7.201366855626e-13 
    6       1.176436287686e-10       8.465566877687e-15       3.365656611095e-13       0.000000000000e+00       1.327336023390e-09       1.825810559688e-10      -4.986773393443e-13 
    7       1.141326264779e-10       6.431383861663e-15       3.342702811710e-13       0.000000000000e+00       1.066637565925e-09       1.534546074385e-10      -3.039830923903e-13 
    8       1.113629038276e-10       4.468933636297e-15       3.213344809588e-13       0.000000000000e+00       8.786616472792e-10       1.311918451987e-10      -1.435577091221e-13 
    9       1.092883582639e-10       3.013284187930e-15       3.004017523720e-13       0.000000000000e+00       7.376946015646e-10       1.137066109920e-10      -2.112246243922e-14 
   10       1.078237649487e-10       2.158331495234e-15       2.747922951834e-13       0.000000000000e+00       6.288614146837e-10       9.967378808394e-11       6.369939170789e-14 
   11       1.068593128259e-10       1.758122264451e-15       2.477090971626e-13       0.000000000000e+00       5.289903146141e-10       8.943806431802e-11       1.176317028411e-13 
   12       1.063231634148e-10       1.587692711122e-15       2.217635130813e-13       0.000000000000e+00       4.609948097912e-10       7.967240799687e-11       1.389134932397e-13 
   13       1.061202624712e-10       1.466360112746e-15       1.987695281408e-13       0.000000000000e+00       4.053159041799e-10       7.150615165783e-11       1.384494528197e-13 
   14       1.062120145406e-10       1.307750301186e-15       1.797863906322e-13       0.000000000000e+00       3.591033042449e-10       6.459663309686e-11       1.228067715078e-13 
   15       1.065113242386e-10       1.109593397950e-15       1.651811153494e-13       0.000000000000e+00       3.202242543886e-10       5.864656038662e-11       9.846478066811e-14 
   16       1.070259497559e-10       9.073885841918e-16       1.550886081416e-13       0.000000000000e+00       2.873754640888e-10       5.361113464665e-11       7.032894379447e-14 
   17       1.076735320554e-10       7.459094936346e-16       1.488362861126e-13       0.000000000000e+00       2.591155804192e-10       4.918346403240e-11       4.328943570379e-14 
   18       1.084552923961e-10       6.403892421850e-16       1.459799160310e-13       0.000000000000e+00       2.348759593557e-10       4.529368010463e-11       2.015582830197e-14 
   19       1.093361875860e-10       5.893953315352e-16       1.457457080405e-13       0.000000000000e+00       2.137307646050e-10       4.185227337217e-11       2.757346891559e-15 
   20       1.103055610561e-10       5.779914909619e-16       1.475662115856e-13       0.000000000000e+00       1.952548403862e-10       3.880419125392e-11      -8.411441744268e-15 
   21       1.113257265683e-10       5.841157388201e-16       1.507469670685e-13       0.000000000000e+00       1.788627672098e-10       3.605334486562e-11      -1.375514876694e-14 
   22       1.124195649881e-10       6.040303741707e-16       1.549656898644e-13       0.000000000000e+00       1.644643826547e-10       3.359188155363e-11      -1.400681408654e-14 
   23       1.135939794798e-10       6.392797403467e-16       1.598519154323e-13       0.000000000000e+00       1.518174935869e-10       3.139050950321e-11      -1.057809335565e-14 
   24       1.148206961394e-10       6.909277462798e-16       1.649220670436e-13       0.000000000000e+00       1.404071451225e-10       2.937582555297e-11      -5.389712284126e-15 
   25       1.161028594917e-10       7.602919018273e-16       1.700750387115e-13       0.000000000000e+00       1.301517434939e-10       2.754143197917e-11       4.420611811383e-16 
   26       1.174294727852e-10       8.484083169970e-16       1.753077652448e-13       0.000000000000e+00       1.209640591234e-10       2.587820298559e-11       5.821227300736e-15 
   27       1.187703979306e-10       9.555391259663e-16       1.806040900352e-13       0.000000000000e+00       1.126315236122e-10       2.435542087763e-11       9.587191980143e-15 
   28       1.201348712929e-10       1.080318758520e-15       1.859833354074e-13       0.000000000000e+00       1.050991881870e-10       2.296665405857e-11       1.146417489189e-14 
