# Matter power spectrum P(k) at redshift z=0.7
# for k=1.04201e-05 to 1.08641 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042006264837e-05       2.206844640606e+01 
       2.326506203360e-05       4.809904809847e+01 
       3.615498020705e-05       7.376478412882e+01 
       4.912430481464e-05       9.930539415363e+01 
       6.220809076084e-05       1.248626996173e+02 
       7.544227104767e-05       1.505462691468e+02 
       8.886397749972e-05       1.764519290548e+02 
       1.025118756191e-04       2.026694294908e+02 
       1.164265178465e-04       2.292864269132e+02 
       1.306507195388e-04       2.563909520063e+02 
       1.452299619789e-04       2.840731649245e+02 
       1.602128266802e-04       3.124267606349e+02 
       1.756514650737e-04       3.415501972225e+02 
       1.916021073123e-04       3.715478385027e+02 
       2.081256132924e-04       4.025310741310e+02 
       2.252880679506e-04       4.346194306133e+02 
       2.431614212888e-04       4.679417062827e+02 
       2.618241711903e-04       5.026371159120e+02 
       2.813620836588e-04       5.388564525455e+02 
       3.018689403174e-04       5.767632318620e+02 
       3.234472964804e-04       6.165347940445e+02 
       3.462092244633e-04       6.583633067042e+02 
       3.702770056541e-04       7.024565945136e+02 
       3.957837209764e-04       7.490386947184e+02 
       4.228736727346e-04       7.983500127773e+02 
       4.517025519226e-04       8.506469119799e+02 
       4.824372451737e-04       9.062005460314e+02 
       5.152551570206e-04       9.652947160169e+02 
       5.503429099424e-04       1.028222520435e+03 
       5.878942823806e-04       1.095281568777e+03 
       6.281072606513e-04       1.166767612920e+03 
       6.711801221986e-04       1.242966479326e+03 
       7.173065414123e-04       1.324144421991e+03 
       7.666698174518e-04       1.410537163335e+03 
       8.194364604494e-04       1.502338180248e+03 
       8.757495213559e-04       1.599687025646e+03 
       9.357221832904e-04       1.702658689930e+03 
       9.994322129582e-04       1.811255103203e+03 
       1.066917865969e-03       1.925399802600e+03 
       1.138175731018e-03       2.044936489527e+03 
       1.213160791908e-03       2.169631875555e+03 
       1.291788718910e-03       2.299182639240e+03 
       1.373940127963e-03       2.433220617714e+03 
       1.459466326067e-03       2.571327901963e+03 
       1.548195936241e-03       2.713074105025e+03 
       1.639941779125e-03       2.857998427992e+03 
       1.734507466021e-03       3.005634915553e+03 
       1.831693295983e-03       3.155523929508e+03 
       1.931301208913e-03       3.307221225326e+03 
       2.033138694949e-03       3.460304851059e+03 
       2.137021678018e-03       3.614379880818e+03 
       2.242776470765e-03       3.769081089381e+03 
       2.350240941398e-03       3.924074588802e+03 
       2.459265047663e-03       4.079057682484e+03 
       2.569710888044e-03       4.233758435064e+03 
       2.681452403641e-03       4.387933977639e+03 
       2.794374842351e-03       4.541370308028e+03 
       2.908374074228e-03       4.693876162251e+03 
       3.023355825930e-03       4.845287049332e+03 
       3.139234884031e-03       4.995456644977e+03 
       3.255934302284e-03       5.144258944039e+03 
       3.373384636308e-03       5.291585056162e+03 
       3.491523220479e-03       5.437340560704e+03 
       3.610293495345e-03       5.581445100703e+03 
       3.729644389346e-03       5.723829385125e+03 
       3.849529755461e-03       5.864435853429e+03 
       3.969907861331e-03       6.003214801595e+03 
       4.090740930133e-03       6.140125728382e+03 
       4.211994728703e-03       6.275133179421e+03 
       4.333638199098e-03       6.408210738253e+03 
       4.455643129667e-03       6.539337099928e+03 
       4.577983861806e-03       6.668495233929e+03 
       4.700637028741e-03       6.795672067221e+03 
       4.823581322955e-03       6.920858828348e+03 
       4.946797289131e-03       7.044052733328e+03 
       5.070267139782e-03       7.165248951230e+03 
       5.193974591024e-03       7.284453017102e+03 
       5.317904716193e-03       7.401660469703e+03 
       5.442043815287e-03       7.516882964422e+03 
       5.566379298409e-03       7.630126455271e+03 
       5.690899581625e-03       7.741397666631e+03 
       5.815593993806e-03       7.850717510115e+03 
       5.940452693216e-03       7.958077200229e+03 
       6.065466592734e-03       8.063504373398e+03 
       6.190627292744e-03       8.167008322903e+03 
       6.315927020827e-03       8.268602700033e+03 
       6.441358577513e-03       8.368297737951e+03 
       6.566915287409e-03       8.466112230463e+03 
       6.692590955127e-03       8.562070264612e+03 
       6.818379825484e-03       8.656171760249e+03 
       6.944276547531e-03       8.748442525706e+03 
       7.070276141978e-03       8.838897693988e+03 
       7.196373971683e-03       8.927552190496e+03 
       7.322565714874e-03       9.014423895012e+03 
       7.448847340820e-03       9.099533303156e+03 
       7.575215087706e-03       9.182896430201e+03 
       7.701665442491e-03       9.264527759947e+03 
       7.828195122546e-03       9.344453205212e+03 
       7.954801058894e-03       9.422684936549e+03 
       8.081480380912e-03       9.499240469289e+03 
       8.208230402323e-03       9.574139702200e+03 
       8.335048608392e-03       9.647401501882e+03 
       8.461932644180e-03       9.719042439949e+03 
       8.588880303774e-03       9.789080400168e+03 
       8.715889520401e-03       9.857533833814e+03 
       8.842958357342e-03       9.924417513821e+03 
       8.970084999572e-03       9.989751010784e+03 
       9.097267746066e-03       1.005355173224e+04 
       9.224505002711e-03       1.011583633117e+04 
       9.351795275770e-03       1.017662050304e+04 
       9.479137165843e-03       1.023592373587e+04 
       9.606529362300e-03       1.029375944708e+04 
       9.733970638131e-03       1.035014404457e+04 
       9.861459845179e-03       1.040510344545e+04 
       9.988995909733e-03       1.045864191645e+04 
       1.011657782845e-02       1.051077793435e+04 
       1.024420466455e-02       1.056153429932e+04 
       1.037187554435e-02       1.061092214437e+04 
       1.049958965398e-02       1.065895128750e+04 
       1.062734623634e-02       1.070565144811e+04 
       1.075514458837e-02       1.075102488760e+04 
       1.088298405834e-02       1.079509472404e+04 
       1.101086404354e-02       1.083787248084e+04 
       1.113878398795e-02       1.087937378136e+04 
       1.126674338017e-02       1.091961465200e+04 
       1.139474175149e-02       1.095860760202e+04 
       1.152277867406e-02       1.099636759295e+04 
       1.165085375922e-02       1.103291267725e+04 
       1.177896665592e-02       1.106825267061e+04 
       1.190711704928e-02       1.110240438656e+04 
       1.203530465921e-02       1.113537767498e+04 
       1.216352923919e-02       1.116719653878e+04 
       1.229179057504e-02       1.119786665548e+04 
       1.242008848388e-02       1.122740365527e+04 
       1.254842281311e-02       1.125582172125e+04 
       1.267679343947e-02       1.128314004545e+04 
       1.280520026812e-02       1.130936034444e+04 
       1.293364323193e-02       1.133451253262e+04 
       1.306212229065e-02       1.135859730157e+04 
       1.319063743025e-02       1.138162874866e+04 
       1.331918866228e-02       1.140362865195e+04 
       1.344777602328e-02       1.142459522805e+04 
       1.357639957426e-02       1.144455613714e+04 
       1.370505940017e-02       1.146351519807e+04 
       1.383375560946e-02       1.148149172107e+04 
       1.396248833368e-02       1.149848288407e+04 
       1.409125772708e-02       1.151452176248e+04 
       1.422006396629e-02       1.152960416123e+04 
       1.434890725000e-02       1.154374818765e+04 
       1.447778779872e-02       1.155696883630e+04 
       1.460670585447e-02       1.156927561156e+04 
       1.473566168063e-02       1.158067823241e+04 
       1.486465556175e-02       1.159119087694e+04 
       1.499368780335e-02       1.160082974440e+04 
       1.512275873184e-02       1.160959809657e+04 
       1.525186869438e-02       1.161751612508e+04 
       1.538101805881e-02       1.162459234543e+04 
       1.551020721360e-02       1.163083179386e+04 
       1.563943656781e-02       1.163624989834e+04 
       1.576870655105e-02       1.164085644069e+04 
       1.589801761354e-02       1.164465682276e+04 
       1.602737022608e-02       1.164767006057e+04 
       1.615676488016e-02       1.164990059809e+04 
       1.628620208796e-02       1.165136081351e+04 
       1.641568238249e-02       1.165206884557e+04 
       1.654520631767e-02       1.165202704095e+04 
       1.667477446846e-02       1.165124864357e+04 
       1.680438743098e-02       1.164974148028e+04 
       1.693404582271e-02       1.164751017556e+04 
       1.706375028264e-02       1.164458272748e+04 
       1.719350147146e-02       1.164094818293e+04 
       1.732330007178e-02       1.163663388901e+04 
       1.745314678836e-02       1.163164533795e+04 
       1.758304234835e-02       1.162598139784e+04 
       1.771298750154e-02       1.161966309944e+04 
       1.784298302065e-02       1.161269396052e+04 
       1.797302970162e-02       1.160509099771e+04 
       1.810312836393e-02       1.159685599806e+04 
       1.823327985092e-02       1.158799105325e+04 
       1.836348503011e-02       1.157852698968e+04 
       1.849374479360e-02       1.156845881867e+04 
       1.862406005843e-02       1.155780286420e+04 
       1.875443176698e-02       1.154655546546e+04 
       1.888486088737e-02       1.153474008262e+04 
       1.901534841388e-02       1.152234968336e+04 
       1.914589536743e-02       1.150941124459e+04 
       1.927650279602e-02       1.149592432348e+04 
       1.940717177523e-02       1.148189326670e+04 
       1.953790340867e-02       1.146733256174e+04 
       1.966869882859e-02       1.145225050583e+04 
       1.979955919631e-02       1.143665325218e+04 
       1.993048570287e-02       1.142056822358e+04 
       2.006147956954e-02       1.140396547845e+04 
       2.019254204847e-02       1.138687805567e+04 
       2.032367442327e-02       1.136931825657e+04 
       2.045487800964e-02       1.135128244095e+04 
       2.058615415606e-02       1.133277592058e+04 
       2.071750424447e-02       1.131381843075e+04 
       2.084892969094e-02       1.129442471854e+04 
       2.098043194642e-02       1.127455937593e+04 
       2.111201249750e-02       1.125429556630e+04 
       2.124367286714e-02       1.123359553937e+04 
       2.137541461552e-02       1.121249777453e+04 
       2.150723934083e-02       1.119096352745e+04 
       2.163914868013e-02       1.116904484703e+04 
       2.177114431021e-02       1.114672213258e+04 
       2.190322794853e-02       1.112404295154e+04 
       2.203540135411e-02       1.110096093305e+04 
       2.216766632853e-02       1.107751247705e+04 
       2.230002471687e-02       1.105370005057e+04 
       2.243247840880e-02       1.102953885137e+04 
       2.256502933958e-02       1.100501918141e+04 
       2.269767949116e-02       1.098016819345e+04 
       2.283043089330e-02       1.095496464981e+04 
       2.296328562476e-02       1.092945865510e+04 
       2.309624581444e-02       1.090363908171e+04 
       2.322931364264e-02       1.087750088740e+04 
       2.336249134233e-02       1.085103256733e+04 
       2.349578120043e-02       1.082425964466e+04 
