# Matter power spectrum P(k) at redshift z=0.7
# for k=0.000105879 to 1.10569 h/Mpc,
# number of wavenumbers equal to 571
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.414956664237e-02       9.807250269206e+03 
       1.427826223542e-02       9.819735480009e+03 
       1.440699607867e-02       9.831428051853e+03 
       1.453576837395e-02       9.842342184995e+03 
       1.466457934549e-02       9.852482132058e+03 
       1.479342923971e-02       9.861861173611e+03 
       1.492231832496e-02       9.870489201802e+03 
       1.505124689138e-02       9.878376084997e+03 
       1.518021525074e-02       9.885530303881e+03 
       1.530922373629e-02       9.891962766759e+03 
       1.543827270270e-02       9.897687774206e+03 
       1.556736252594e-02       9.902708573266e+03 
       1.569649360324e-02       9.907035248666e+03 
       1.582566635309e-02       9.910679406937e+03 
       1.595488121517e-02       9.913642765040e+03 
       1.608413865043e-02       9.915943082512e+03 
       1.621343914106e-02       9.917581251937e+03 
       1.634278319062e-02       9.918572367805e+03 
       1.647217132401e-02       9.918919839472e+03 
       1.660160408768e-02       9.918636239581e+03 
       1.673108204964e-02       9.917731482091e+03 
       1.686060579966e-02       9.916211259840e+03 
       1.699017594938e-02       9.914088234252e+03 
       1.711979313249e-02       9.911365780129e+03 
       1.724945800493e-02       9.908057300058e+03 
       1.737917124506e-02       9.904163063816e+03 
       1.750893355390e-02       9.899704286361e+03 
       1.763874565538e-02       9.894679211198e+03 
       1.776860829657e-02       9.889096058649e+03 
       1.789852224795e-02       9.882968398808e+03 
       1.802848830372e-02       9.876302619610e+03 
       1.815850728210e-02       9.869099379864e+03 
       1.828858002565e-02       9.861378239857e+03 
       1.841870740160e-02       9.853144625087e+03 
       1.854889030222e-02       9.844391174429e+03 
       1.867912964518e-02       9.835143608765e+03 
       1.880942637399e-02       9.825403608596e+03 
       1.893978145834e-02       9.815173386358e+03 
       1.907019589456e-02       9.804483264208e+03 
       1.920067070609e-02       9.793303416163e+03 
       1.933120694390e-02       9.781669613410e+03 
       1.946180568700e-02       9.769579180934e+03 
       1.959246804295e-02       9.757038079462e+03 
       1.972319514833e-02       9.744060274936e+03 
       1.985398816933e-02       9.730645266793e+03 
       1.998484830230e-02       9.716798357332e+03 
       2.011577677430e-02       9.702548048934e+03 
       2.024677484373e-02       9.687871823732e+03 
       2.037784380095e-02       9.672793459135e+03 
       2.050898496889e-02       9.657324534365e+03 
       2.064019970373e-02       9.641456340489e+03 
       2.077148939562e-02       9.625205933707e+03 
       2.090285546931e-02       9.608578132332e+03 
       2.103429938496e-02       9.591582168281e+03 
       2.116582263885e-02       9.574213617428e+03 
       2.129742676417e-02       9.556489174678e+03 
       2.142911333183e-02       9.538421307008e+03 
       2.156088395129e-02       9.520011830811e+03 
       2.169274027139e-02       9.501242423894e+03 
       2.182468398128e-02       9.482160157769e+03 
       2.195671681131e-02       9.462739103298e+03 
       2.208884053395e-02       9.443027197646e+03 
       2.222105696480e-02       9.422975294643e+03 
       2.235336796356e-02       9.402628754798e+03 
       2.248577543509e-02       9.381979264144e+03 
       2.261828133044e-02       9.361033845548e+03 
       2.275088764800e-02       9.339813686436e+03 
       2.288359643457e-02       9.318285683671e+03 
       2.301640978658e-02       9.296502147339e+03 
       2.314932985129e-02       9.274438122667e+03 
       2.328235882801e-02       9.252125385887e+03 
