       2.109631387639e-04       3.810724052400e+02 
       2.280413242513e-04       4.848974274814e+02 
       2.458034058116e-04       5.921201306336e+02 
       2.643232765635e-04       7.022530927159e+02 
       2.836814943310e-04       8.151664082543e+02 
       3.039659597038e-04       9.309660019736e+02 
       3.252726070646e-04       1.049901370088e+03 
       3.477060882624e-04       1.172339233706e+03 
       3.713804196217e-04       1.298723451941e+03 
       3.964195517212e-04       1.429555524071e+03 
       4.229578078070e-04       1.565392737373e+03 
       4.511401210712e-04       1.706837280048e+03 
       4.811219841565e-04       1.854519836093e+03 
       5.130690077629e-04       2.009103057636e+03 
       5.471559718782e-04       2.171278151406e+03 
       5.835652469891e-04       2.341726914540e+03 
       6.224844690406e-04       2.521149783923e+03 
       6.641033771463e-04       2.710223086483e+03 
       7.086097730927e-04       2.909587739108e+03 
       7.561846402544e-04       3.119827359639e+03 
       8.069965653917e-04       3.341445149884e+03 
       8.611957309529e-04       3.574838615932e+03 
       9.189078695888e-04       3.820276027247e+03 
       9.802286700868e-04       4.077876831877e+03 
       1.045219165319e-03       4.347595484025e+03 
       1.113902594457e-03       4.629214257338e+03 
       1.186263105829e-03       4.922343478881e+03 
       1.262246468114e-03       5.226431536012e+03 
       1.341762722152e-03       5.540778957399e+03 
       1.424690481849e-03       5.864537499653e+03 
       1.510882425380e-03       6.196833481267e+03 
       1.600171435708e-03       6.536699199149e+03 
       1.692376856810e-03       6.883135212232e+03 
       1.787310412184e-03       7.235136253493e+03 
       1.884781455770e-03       7.591715071273e+03 
       1.984601361186e-03       7.951919079390e+03 
       2.086586978391e-03       8.314845344790e+03 
       2.190563182924e-03       8.679648802096e+03 
       2.296364607001e-03       9.045548695615e+03 
       2.403836676377e-03       9.411831427430e+03 
       2.512836088110e-03       9.777847740681e+03 
       2.623230859598e-03       1.014301436102e+04 
       2.734900064996e-03       1.050680800868e+04 
       2.847733356587e-03       1.086876411109e+04 
       2.961630349356e-03       1.122847052424e+04 
       3.076499929021e-03       1.158556250457e+04 
       3.192259528203e-03       1.193972251892e+04 
       3.308834402589e-03       1.229066932336e+04 
       3.426156928789e-03       1.263816094818e+04 
       3.544165937823e-03       1.298198423803e+04 
       3.662806092412e-03       1.332195759479e+04 
       3.782027312073e-03       1.365792496424e+04 
       3.901784247127e-03       1.398975363733e+04 
       4.022035800751e-03       1.431732918898e+04 
       4.142744696962e-03       1.464055713186e+04 
       4.263877091662e-03       1.495936107166e+04 
       4.385402223493e-03       1.527367558668e+04 
       4.507292101107e-03       1.558345245642e+04 
       4.629521223474e-03       1.588864644842e+04 
       4.752066329997e-03       1.618915088528e+04 
       4.874906177384e-03       1.648514801043e+04 
       4.998021340457e-03       1.677646999887e+04 
       5.121394034324e-03       1.706308926407e+04 
       5.245007955581e-03       1.734501477362e+04 
       5.368848140438e-03       1.762247032736e+04 
       5.492900837888e-03       1.789526878138e+04 
       5.617153396241e-03       1.816342040272e+04 
       5.741594161520e-03       1.842695539189e+04 
       5.866212386412e-03       1.868511090931e+04 
       5.990998148573e-03       1.893942813276e+04 
       6.115942277268e-03       1.918931367752e+04 
       6.241036287414e-03       1.943482708983e+04 
       6.366272320216e-03       1.967613777563e+04 
       6.491643089672e-03       1.991257978088e+04 
       6.617141834318e-03       2.014451318572e+04 
       6.742762273643e-03       2.037188516294e+04 
       6.868498568678e-03       2.059539618240e+04 
       6.994345286318e-03       2.081452474406e+04 
       7.120297366983e-03       2.102936739741e+04 
       7.246350095283e-03       2.123993446986e+04 
       7.372499073355e-03       2.144621569856e+04 
       7.498740196628e-03       2.164912624934e+04 
       7.625069631750e-03       2.184727507517e+04 
       7.751483796468e-03       2.204137612763e+04 
       7.877979341278e-03       2.223146304699e+04 
       8.004553132654e-03       2.241755135354e+04 
       8.131202237718e-03       2.259972531100e+04 
       8.257923910207e-03       2.277805246790e+04 
       8.384715577614e-03       2.295248487096e+04 
       8.511574829401e-03       2.312309398495e+04 
       8.638499406169e-03       2.328993961376e+04 
       8.765487189711e-03       2.345303959021e+04 
       8.892536193871e-03       2.361241364737e+04 
       9.019644556116e-03       2.376816766368e+04 
       9.146810529782e-03       2.392030521344e+04 
       9.274032476919e-03       2.406886173436e+04 
       9.401308861696e-03       2.421390522989e+04 
       9.528638244297e-03       2.435543824505e+04 
       9.656019275294e-03       2.449351324226e+04 
       9.783450690433e-03       2.462818405796e+04 
       9.910931305817e-03       2.475953768081e+04 
       1.003846001343e-02       2.488738355713e+04 
       1.016603577702e-02       2.501199687496e+04 
       1.029365762824e-02       2.513333828017e+04 
       1.042132466309e-02       2.525148087243e+04 
       1.054903603864e-02       2.536648769264e+04 
       1.067679096992e-02       2.547815078938e+04 
       1.080458872710e-02       2.558678194211e+04 
       1.093242863286e-02       2.569234148635e+04 
       1.106031005985e-02       2.579485400034e+04 
       1.118823242848e-02       2.589442570483e+04 
       1.131619520477e-02       2.599077209782e+04 
       1.144419789831e-02       2.608430420692e+04 
       1.157224006051e-02       2.617495858563e+04 
       1.170032128280e-02       2.626275671737e+04 
       1.182844119506e-02       2.634759899907e+04 
       1.195659946416e-02       2.642966200039e+04 
       1.208479579252e-02       2.650913940519e+04 
       1.221302991689e-02       2.658568839122e+04 
       1.234130160707e-02       2.665939331177e+04 
       1.246961066486e-02       2.673069523321e+04 
       1.259795692302e-02       2.679904158315e+04 
       1.272634024427e-02       2.686505152556e+04 
       1.285476052041e-02       2.692816738218e+04 
       1.298321767152e-02       2.698898184053e+04 
       1.311171164516e-02       2.704717399731e+04 
       1.324024241569e-02       2.710286588927e+04 
