# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.269762266469e-10       4.510412803622e-15       1.776230063241e-13       0.000000000000e+00       6.073528727390e-09       5.057870850926e-10      -1.464166279702e-12 
    3       1.263111068687e-10       8.544475685252e-15       3.075596574545e-13       0.000000000000e+00       3.741383940644e-09       3.540834140981e-10      -1.369199671372e-12 
    4       1.219690233760e-10       1.056709040984e-14       3.682921268692e-13       0.000000000000e+00       2.593379108369e-09       2.695172285337e-10      -1.112974676916e-12 
    5       1.172569156690e-10       1.031292410852e-14       3.812181892012e-13       0.000000000000e+00       1.927234283500e-09       2.148869347900e-10      -8.331989177107e-13 
    6       1.131353972349e-10       8.547364088549e-15       3.727568239906e-13       0.000000000000e+00       1.500342129977e-09       1.763929720369e-10      -5.730255333452e-13 
    7       1.099039043994e-10       6.204434315251e-15       3.504161976970e-13       0.000000000000e+00       1.207258721817e-09       1.479979600837e-10      -3.470904305743e-13 
    8       1.075138899315e-10       4.095901765391e-15       3.194857309034e-13       0.000000000000e+00       9.954848821975e-10       1.263036839654e-10      -1.643378783828e-13 
    9       1.058356696994e-10       2.638667691613e-15       2.848734705700e-13       0.000000000000e+00       8.366084394896e-10       1.092704484337e-10      -2.786414408481e-14 
   10       1.047516226067e-10       1.851656717464e-15       2.505085025932e-13       0.000000000000e+00       7.138528753453e-10       9.561017900991e-11       6.399581113638e-14 
   11       1.041479839560e-10       1.522414817950e-15       2.192313286568e-13       0.000000000000e+00       6.008805701734e-10       8.540932695797e-11       1.182924241324e-13 
   12       1.039417792533e-10       1.394192608020e-15       1.928489855547e-13       0.000000000000e+00       5.240663427511e-10       7.594761200038e-11       1.376035047279e-13 
   13       1.040481265520e-10       1.287539176554e-15       1.722904395032e-13       0.000000000000e+00       4.611159817700e-10       6.806801569910e-11       1.329697220931e-13 
   14       1.044164501879e-10       1.135273987113e-15       1.577085398789e-13       0.000000000000e+00       4.088291136383e-10       6.140925805480e-11       1.124016794783e-13 
