# Matter power spectrum P(k) at redshift z=0.7
# for k=1.04043e-05 to 1.07542 h/Mpc,
# number of wavenumbers equal to 602
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.344678796277e-02       1.159015927044e+04 
       1.357540538715e-02       1.161106444797e+04 
       1.370405908569e-02       1.163094607062e+04 
       1.383274916674e-02       1.164982076244e+04 
       1.396147576175e-02       1.166769922146e+04 
       1.409023902487e-02       1.168459529454e+04 
       1.421903913263e-02       1.170051787117e+04 
       1.434787628362e-02       1.171548217313e+04 
       1.447675069823e-02       1.172949825886e+04 
       1.460566261841e-02       1.174258684456e+04 
       1.473461230744e-02       1.175474200968e+04 
       1.486360004975e-02       1.176599241098e+04 
       1.499262615078e-02       1.177634700627e+04 
       1.512169093683e-02       1.178581130144e+04 
       1.525079475497e-02       1.179440273214e+04 
       1.537993797294e-02       1.180213172550e+04 
       1.550912097912e-02       1.180901046939e+04 
       1.563834418245e-02       1.181503895482e+04 
       1.576760801247e-02       1.182024641723e+04 
       1.589691291928e-02       1.182462107467e+04 
       1.602625937360e-02       1.182818392599e+04 
       1.615564786680e-02       1.183095900593e+04 
       1.628507891098e-02       1.183294056400e+04 
       1.641455303903e-02       1.183414081566e+04 
       1.654407080477e-02       1.183458180220e+04 
       1.667363278307e-02       1.183426295943e+04 
       1.680323956993e-02       1.183319911405e+04 
       1.693289178275e-02       1.183139554205e+04 
       1.706259006039e-02       1.182887381244e+04 
       1.719233506344e-02       1.182563044271e+04 
       1.732212747441e-02       1.182168633186e+04 
       1.745196799794e-02       1.181705290147e+04 
       1.758185736107e-02       1.181172608334e+04 
       1.771179631348e-02       1.180572707074e+04 
       1.784178562778e-02       1.179905718107e+04 
       1.797182609979e-02       1.179174115760e+04 
       1.810191854888e-02       1.178377269386e+04 
       1.823206381825e-02       1.177517204421e+04 
       1.836226277532e-02       1.176594576486e+04 
       1.849251631206e-02       1.175610506370e+04 
       1.862282534539e-02       1.174565525232e+04 
       1.875319081755e-02       1.173460320669e+04 
       1.888361369654e-02       1.172296113453e+04 
       1.901409497651e-02       1.171074106393e+04 
       1.914463567825e-02       1.169795016332e+04 
       1.927523684962e-02       1.168459812525e+04 
       1.940589956606e-02       1.167070453382e+04 
       1.953662493104e-02       1.165625253393e+04 
       1.966741407666e-02       1.164126938003e+04 
       1.979826816410e-02       1.162575421937e+04 
       1.992918838426e-02       1.160973124355e+04 
       2.006017595825e-02       1.159320082871e+04 
       2.019123213806e-02       1.157615861382e+04 
       2.032235820714e-02       1.155863037842e+04 
       2.045355548104e-02       1.154062000532e+04 
       2.058482530807e-02       1.152212588745e+04 
       2.071616907001e-02       1.150317735236e+04 
       2.084758818275e-02       1.148376107136e+04 
       2.097908409706e-02       1.146389695012e+04 
       2.111065829936e-02       1.144358287984e+04 
       2.124231231243e-02       1.142284609813e+04 
       2.137404769626e-02       1.140168321689e+04 
       2.150586604885e-02       1.138009258385e+04 
       2.163776900706e-02       1.135808898518e+04 
       2.176975824749e-02       1.133569279100e+04 
       2.190183548739e-02       1.131290181556e+04 
       2.203400248559e-02       1.128971707208e+04 
       2.216626104342e-02       1.126615078205e+04 
       2.229861300579e-02       1.124220852603e+04 
       2.243106026212e-02       1.121793054603e+04 
       2.256360474744e-02       1.119323829710e+04 
       2.269624844347e-02       1.116822751929e+04 
       2.282899337975e-02       1.114288027299e+04 
       2.296184163478e-02       1.111717483670e+04 
       2.309479533722e-02       1.109116674718e+04 
       2.322785666710e-02       1.106480036276e+04 
       2.336102785714e-02       1.103814584556e+04 
       2.349431119401e-02       1.101118169480e+04 
       2.362770901968e-02       1.098391329810e+04 
       2.376122373285e-02       1.095635030704e+04 
       2.389485779037e-02       1.092848970088e+04 
       2.402861370869e-02       1.090035367542e+04 
       2.416249406545e-02       1.087193559252e+04 
       2.429650150102e-02       1.084325413171e+04 
       2.443063872013e-02       1.081431067893e+04 
       2.456490849357e-02       1.078509427359e+04 
       2.469931365994e-02       1.075565837166e+04 
       2.483385712741e-02       1.072595923324e+04 
       2.496854187561e-02       1.069603604752e+04 
       2.510337095751e-02       1.066586395477e+04 
       2.523834750144e-02       1.063545741689e+04 
       2.537347471312e-02       1.060486620553e+04 
       2.550875587776e-02       1.057403617443e+04 
       2.564419436226e-02       1.054298688623e+04 
       2.577979361748e-02       1.051175318119e+04 
       2.591555718055e-02       1.048032430369e+04 
       2.605148867732e-02       1.044870032173e+04 
       2.618759182484e-02       1.041686621801e+04 
       2.632387043396e-02       1.038486937910e+04 
       2.646032841200e-02       1.035270557117e+04 
       2.659696976552e-02       1.032035032976e+04 
       2.673379860323e-02       1.028786733242e+04 
       2.687081913890e-02       1.025520521446e+04 
       2.700803569449e-02       1.022235901987e+04 
       2.714545270333e-02       1.018940783190e+04 
       2.728307471343e-02       1.015629087867e+04 
       2.742090639089e-02       1.012303403345e+04 
       2.755895252351e-02       1.008964617135e+04 
       2.769721802439e-02       1.005611145153e+04 
       2.783570793585e-02       1.002248327325e+04 
       2.797442743334e-02       9.988736178469e+03 
       2.811338182959e-02       9.954817881812e+03 
       2.825257657887e-02       9.920838514872e+03 
       2.839201728147e-02       9.886703600327e+03 
       2.853170968826e-02       9.852503958193e+03 
       2.867165970554e-02       9.818171756726e+03 
       2.881187340001e-02       9.783765956958e+03 
       2.895235700394e-02       9.749290316983e+03 
       2.909311692059e-02       9.714719161245e+03 
       2.923415972980e-02       9.680012536401e+03 
       2.937549219384e-02       9.645292241725e+03 
       2.951712126348e-02       9.610482399248e+03 
       2.965905408434e-02       9.575569784826e+03 
       2.980129800345e-02       9.540605658122e+03 
       2.994386057617e-02       9.505568580366e+03 
       3.008674957331e-02       9.470499224314e+03 
       3.022997298863e-02       9.435338170326e+03 
       3.037353904661e-02       9.400147169811e+03 
       3.051745621061e-02       9.364887207798e+03 
       3.066173319134e-02       9.329583576565e+03 
       3.080637895571e-02       9.294222933861e+03 
       3.095140273615e-02       9.258847177493e+03 
       3.109681404022e-02       9.223421872747e+03 
       3.124262266079e-02       9.187947445764e+03 
       3.138883868658e-02       9.152454809229e+03 
       3.153547251326e-02       9.116930709735e+03 
       3.168253485506e-02       9.081372169904e+03 
       3.183003675686e-02       9.045793627047e+03 
       3.197798960697e-02       9.010185029628e+03 
       3.212640515044e-02       8.974541190175e+03 
       3.227529550304e-02       8.938924504166e+03 
       3.242467316591e-02       8.903260599628e+03 
       3.257455104100e-02       8.867571163250e+03 
       3.272494244720e-02       8.831912163893e+03 
       3.287586113735e-02       8.796223873683e+03 
       3.302732131606e-02       8.760527575661e+03 
       3.317933765851e-02       8.724829285495e+03 
       3.333192533019e-02       8.689134083712e+03 
       3.348510000768e-02       8.653426983400e+03 
       3.363887790059e-02       8.617715108502e+03 
       3.379327577458e-02       8.581991331687e+03 
       3.394831097571e-02       8.546351760057e+03 
       3.410400145613e-02       8.510641331344e+03 
       3.426036580116e-02       8.474946372801e+03 
       3.441742325789e-02       8.439306305440e+03 
       3.457519376544e-02       8.403613569703e+03 
       3.473369798692e-02       8.367959761483e+03 
       3.489295734329e-02       8.332314808691e+03 
       3.505299404916e-02       8.296703452509e+03 
       3.521383115076e-02       8.261060723669e+03 
       3.537549256615e-02       8.225482615120e+03 
       3.553800312794e-02       8.189899769050e+03 
       3.570138862857e-02       8.154329014610e+03 
       3.586567586847e-02       8.118768945272e+03 
       3.603089270721e-02       8.083249411335e+03 
       3.619706811796e-02       8.047734511507e+03 
       3.636423224547e-02       8.012234533577e+03 
       3.653241646779e-02       7.976759776350e+03 
       3.670165346216e-02       7.941295393686e+03 
       3.687197727528e-02       7.905863684419e+03 
       3.704342339841e-02       7.870436905075e+03 
       3.721602884756e-02       7.835024832426e+03 
       3.738983224942e-02       7.799639324770e+03 
       3.756487393327e-02       7.764278755301e+03 
       3.774119602953e-02       7.728931601736e+03 
       3.791884257551e-02       7.693578574840e+03 
       3.809785962898e-02       7.658262053676e+03 
       3.827829539018e-02       7.622947867341e+03 
       3.846020033321e-02       7.587637469529e+03 
       3.864362734748e-02       7.552382515506e+03 
       3.882863189029e-02       7.517125214024e+03 
       3.901527215149e-02       7.481860038022e+03 
       3.920360923153e-02       7.446616466615e+03 
       3.939370733396e-02       7.411384834839e+03 
       3.958563397408e-02       7.376142690336e+03 
       3.977946020523e-02       7.340902366061e+03 
       3.997526086449e-02       7.305670071219e+03 
       4.017311483991e-02       7.270435180844e+03 
       4.037310536143e-02       7.235196890923e+03 
       4.057532031818e-02       7.199950583583e+03 
       4.077985260490e-02       7.164702990522e+03 
       4.098680050079e-02       7.129426993241e+03 
       4.119626808441e-02       7.094147891759e+03 
       4.140836568888e-02       7.058845765444e+03 
       4.162321040199e-02       7.023492671504e+03 
