# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.454526955277e-10       5.543078903325e-15       2.282652807285e-13       4.362465634952e-17       6.888620834553e-11       1.048378558790e-11      -5.248639108957e-15 
   41       1.474875669881e-10       6.021291621251e-15       2.231559195068e-13       4.583452441104e-17       6.546209443946e-11       1.002465685662e-11      -3.383643029020e-15 
   42       1.495376864173e-10       6.527725945166e-15       2.172050655262e-13       4.810018751411e-17       6.225072833116e-11       9.592314810528e-12      -2.507218453423e-15 
   43       1.516058019155e-10       7.062673554509e-15       2.103813942752e-13       5.042177150142e-17       5.924662874794e-11       9.186206330793e-12      -2.558148472820e-15 
   44       1.536947167130e-10       7.626335872939e-15       2.026027936194e-13       5.279939578338e-17       5.644615887941e-11       8.806044979590e-12      -3.307568683683e-15 
   45       1.558044457528e-10       8.218798453836e-15       1.937734209598e-13       5.523318639849e-17       5.383478617440e-11       8.450101541213e-12      -4.466174317605e-15 
   46       1.579319421672e-10       8.840024098537e-15       1.837827742985e-13       5.772327643598e-17       5.138621585159e-11       8.115087807808e-12      -5.680502114397e-15 
   47       1.600731601889e-10       9.489965759048e-15       1.725219621938e-13       6.026978745971e-17       4.907079754882e-11       7.797239169197e-12      -6.609807059077e-15 
   48       1.622305863152e-10       1.016895978738e-14       1.599402264331e-13       6.287276646712e-17       4.688563506332e-11       7.496202914431e-12      -7.191565396053e-15 
   49       1.644074043225e-10       1.087743392851e-14       1.460030742551e-13       6.553223153478e-17       4.483164683239e-11       7.212068481169e-12      -7.445915004387e-15 
   50       1.666052022179e-10       1.161579690155e-14       1.306764833552e-13       6.824818866277e-17       4.290468409798e-11       6.944215041054e-12      -7.402274157146e-15 
   51       1.688238229932e-10       1.238443788946e-14       1.139268877864e-13       7.102063118672e-17       4.109515766938e-11       6.691259051623e-12      -7.099910355342e-15 
   52       1.710612153803e-10       1.318372602881e-14       9.572116386013e-14       7.384953918986e-17       3.938766468583e-11       6.451001808213e-12      -6.588509161873e-15 
   53       1.733147798602e-10       1.401396078837e-14       7.603614614609e-14       7.673487282459e-17       3.776549733052e-11       6.221104305407e-12      -5.926380801488e-15 
   54       1.755861565791e-10       1.487520929911e-14       5.489008068293e-14       7.967655161427e-17       3.622638924397e-11       6.001436282720e-12      -5.173229165585e-15 
   55       1.778774084982e-10       1.576742630553e-14       3.231923516306e-14       8.267446880430e-17       3.477016768899e-11       5.792239809699e-12      -4.396514804942e-15 
